estimated_time,scrape_time,user,action,time_ago_raw
2026-01-21T23:17:00.000Z,2026-01-22T00:17:18.281Z,angelina,joined this cuckoo,1 hours ago
2026-01-21T23:18:00.000Z,2026-01-22T00:17:18.281Z,Tess,joined this cuckoo,59 min ago
2026-01-21T23:19:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 25 minute work session,58 min ago
2026-01-21T23:21:00.000Z,2026-01-22T00:17:18.281Z,Cian,joined this cuckoo,56 min ago
2026-01-21T23:44:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 5 minute break,33 min ago
2026-01-21T23:49:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 25 minute work session,28 min ago
2026-01-22T00:10:00.000Z,2026-01-22T00:17:18.281Z,angelina,joined this cuckoo,7 min ago
2026-01-22T00:15:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 5 minute break,2 min ago
2026-01-21T23:55:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 5 minute break,1 hours ago
2026-01-22T00:18:00.000Z,2026-01-22T00:55:36.767Z,Tess,joined this cuckoo,37 min ago
2026-01-22T00:20:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 25 minute work session,35 min ago
2026-01-22T00:45:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 5 minute break,10 min ago
2026-01-22T00:50:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 25 minute work session,5 min ago
2026-01-22T00:01:00.000Z,2026-01-22T01:01:10.099Z,Cian,joined this cuckoo,1 hours ago
2026-01-22T01:01:00.000Z,2026-01-22T01:14:12.865Z,Tess,joined this cuckoo,13 min ago
2026-01-22T08:24:00.000Z,2026-01-22T08:47:38.744Z,Joris,joined this cuckoo,23 min ago
2026-01-22T08:24:00.000Z,2026-01-22T08:47:38.744Z,Izzy,joined this cuckoo,23 min ago
2026-01-22T08:26:00.000Z,2026-01-22T08:47:38.744Z,Izzy,started a 25 minute work session,21 min ago
2026-01-22T08:52:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,59 min ago
2026-01-22T08:58:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 25 minute work session,53 min ago
2026-01-22T09:24:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,27 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,paused the current break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,stopped the current break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,skipped the break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 15 minute work session,25 min ago
2026-01-22T09:42:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,9 min ago
2026-01-22T09:50:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 15 minute work session,1 min ago
2026-01-22T17:01:00.000Z,2026-01-22T17:19:03.907Z,Jessica,joined this cuckoo,18 min ago
2026-01-22T17:02:00.000Z,2026-01-22T17:19:03.907Z,j,joined this cuckoo,17 min ago
2026-01-22T17:02:00.000Z,2026-01-22T17:19:03.907Z,j,started a 25 minute work session,17 min ago
2026-01-22T17:18:00.000Z,2026-01-22T17:19:03.907Z,Joris,joined this cuckoo,5 sec ago
2026-01-22T17:55:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 5 minute break,1 hours ago
2026-01-22T17:55:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,1 hours ago
2026-01-22T17:57:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 5 minute break,58 min ago
2026-01-22T18:02:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,53 min ago
2026-01-22T18:06:00.000Z,2026-01-22T18:55:41.467Z,Joris,joined this cuckoo,49 min ago
2026-01-22T18:27:00.000Z,2026-01-22T18:55:41.467Z,Joris,started a 5 minute break,28 min ago
2026-01-22T18:33:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,22 min ago
2026-01-22T18:55:00.000Z,2026-01-22T18:55:41.467Z,Alex,joined this cuckoo,15 sec ago
2026-01-22T19:58:00.000Z,2026-01-22T19:59:03.778Z,Tess,joined this cuckoo,4 sec ago
2026-01-22T19:59:00.000Z,2026-01-22T19:59:03.778Z,Tess,started a 25 minute work session,just now
2026-01-22T20:02:00.000Z,2026-01-22T20:38:10.600Z,angelina,joined this cuckoo,36 min ago
2026-01-22T20:23:00.000Z,2026-01-22T20:38:10.600Z,angelina,started a 5 minute break,15 min ago
2026-01-22T20:30:00.000Z,2026-01-22T20:38:10.600Z,angelina,started a 25 minute work session,8 min ago
2026-01-22T20:02:00.000Z,2026-01-22T20:57:43.443Z,Tess,joined this cuckoo,55 min ago
2026-01-22T20:02:00.000Z,2026-01-22T20:57:43.443Z,Tess,started a 25 minute work session,55 min ago
2026-01-22T20:44:00.000Z,2026-01-22T20:57:43.443Z,Jessica,joined this cuckoo,13 min ago
2026-01-22T20:57:00.000Z,2026-01-22T20:57:43.443Z,Alex,joined this cuckoo,5 sec ago
2026-01-22T21:00:00.000Z,2026-01-22T21:32:43.217Z,Alex,joined this cuckoo,32 min ago
2026-01-22T21:02:00.000Z,2026-01-22T21:32:43.217Z,angelina,started a 5 minute break,30 min ago
2026-01-22T21:07:00.000Z,2026-01-22T21:32:43.217Z,angelina,started a 25 minute work session,25 min ago
2026-01-22T21:23:00.000Z,2026-01-22T21:32:43.217Z,Tess,joined this cuckoo,9 min ago
2026-01-22T21:32:00.000Z,2026-01-22T21:32:43.217Z,Jessica,started a 5 minute break,35 sec ago
2026-01-22T20:52:00.000Z,2026-01-22T21:52:02.167Z,angelina,started a 25 minute work session,1 hours ago
2026-01-22T20:52:00.000Z,2026-01-22T21:52:02.167Z,Jessica,joined this cuckoo,1 hours ago
2026-01-22T20:56:00.000Z,2026-01-22T21:52:02.167Z,angelina,started a 5 minute break,56 min ago
2026-01-22T21:26:00.000Z,2026-01-22T21:52:02.167Z,Jessica,started a 5 minute break,26 min ago
2026-01-22T21:31:00.000Z,2026-01-22T21:52:02.167Z,Tess,started a 25 minute work session,21 min ago
2026-01-23T11:45:00.000Z,2026-01-23T11:45:49.882Z,Jessica,joined this cuckoo,5 sec ago
2026-01-23T16:58:00.000Z,2026-01-23T17:58:03.292Z,Ollie,joined this cuckoo,1 hours ago
2026-01-23T16:58:00.000Z,2026-01-23T17:58:03.292Z,charlotte,joined this cuckoo,1 hours ago
2026-01-23T16:58:00.000Z,2026-01-23T17:58:03.292Z,Kiran,joined this cuckoo,1 hours ago
2026-01-23T16:58:00.000Z,2026-01-23T17:58:03.292Z,Kiran,started a 25 minute work session,1 hours ago
2026-01-23T17:20:00.000Z,2026-01-23T17:58:03.292Z,charlotte,started a 5 minute break,38 min ago
2026-01-23T17:26:00.000Z,2026-01-23T17:58:03.292Z,Kiran,started a 25 minute work session,32 min ago
2026-01-23T17:32:00.000Z,2026-01-23T17:58:03.292Z,Ollie,joined this cuckoo,26 min ago
2026-01-23T17:52:00.000Z,2026-01-23T17:58:03.292Z,charlotte,started a 5 minute break,6 min ago
2026-01-23T17:57:00.000Z,2026-01-23T17:58:03.292Z,Kiran,started a 25 minute work session,1 min ago
2026-01-23T17:48:00.000Z,2026-01-23T18:48:29.087Z,Ollie,joined this cuckoo,1 hours ago
2026-01-23T17:48:00.000Z,2026-01-23T18:48:29.087Z,charlotte,joined this cuckoo,1 hours ago
2026-01-23T17:48:00.000Z,2026-01-23T18:48:29.087Z,Kiran,joined this cuckoo,1 hours ago
2026-01-23T18:18:00.000Z,2026-01-23T18:48:29.087Z,angelina,joined this cuckoo,30 min ago
2026-01-23T18:24:00.000Z,2026-01-23T18:48:29.087Z,angelina,started a 5 minute break,24 min ago
2026-01-23T18:29:00.000Z,2026-01-23T18:48:29.087Z,angelina,started a 25 minute work session,19 min ago
2026-01-23T18:48:00.000Z,2026-01-23T18:48:29.087Z,Alex,joined this cuckoo,5 sec ago
2026-01-23T18:14:00.000Z,2026-01-23T19:14:51.114Z,charlotte,started a 5 minute break,1 hours ago
2026-01-23T18:14:00.000Z,2026-01-23T19:14:51.114Z,Kiran,started a 25 minute work session,1 hours ago
2026-01-23T18:14:00.000Z,2026-01-23T19:14:51.114Z,Ollie,joined this cuckoo,1 hours ago
2026-01-23T18:51:00.000Z,2026-01-23T19:14:51.114Z,angelina,started a 5 minute break,23 min ago
2026-01-23T18:56:00.000Z,2026-01-23T19:14:51.114Z,Alex,started a 25 minute work session,18 min ago
2026-01-23T18:57:00.000Z,2026-01-23T19:14:51.114Z,Alex,paused the current work session,17 min ago
2026-01-23T18:57:00.000Z,2026-01-23T19:14:51.114Z,Alex,resumed the current work session,17 min ago
2026-01-23T19:03:00.000Z,2026-01-23T19:14:51.114Z,Jessica,joined this cuckoo,11 min ago
2026-01-23T19:03:00.000Z,2026-01-23T19:36:49.609Z,Alex,started a 25 minute work session,33 min ago
2026-01-23T19:03:00.000Z,2026-01-23T19:36:49.609Z,Alex,paused the current work session,33 min ago
2026-01-23T19:03:00.000Z,2026-01-23T19:36:49.609Z,Alex,resumed the current work session,33 min ago
2026-01-23T19:29:00.000Z,2026-01-23T19:36:49.609Z,angelina,started a 5 minute break,7 min ago
2026-01-23T19:29:00.000Z,2026-01-23T19:36:49.609Z,Jessica,started a 5 minute break,7 min ago
2026-01-23T19:36:00.000Z,2026-01-23T19:36:49.609Z,angelina,joined this cuckoo,5 sec ago
2026-01-23T19:36:00.000Z,2026-01-23T19:36:49.609Z,Alex,started a 25 minute work session,just now
2026-01-23T19:36:00.000Z,2026-01-23T19:36:49.609Z,Jessica,started a 25 minute work session,just now
2026-01-23T18:50:00.000Z,2026-01-23T19:50:00.455Z,Alex,joined this cuckoo,1 hours ago
2026-01-23T19:42:00.000Z,2026-01-23T20:42:57.334Z,Alex,joined this cuckoo,1 hours ago
2026-01-23T19:42:00.000Z,2026-01-23T20:42:57.334Z,angelina,joined this cuckoo,1 hours ago
2026-01-23T19:42:00.000Z,2026-01-23T20:42:57.334Z,Jessica,started a 25 minute work session,1 hours ago
2026-01-23T19:57:00.000Z,2026-01-23T20:42:57.334Z,angelina,started a 5 minute break,45 min ago
2026-01-23T20:02:00.000Z,2026-01-23T20:42:57.334Z,Jessica,started a 25 minute work session,40 min ago
2026-01-23T20:27:00.000Z,2026-01-23T20:42:57.334Z,Jessica,started a 5 minute break,15 min ago
